uid,score,timePlaying,totalPoints,highscore,numberOfPlays,date,gameMode
"1423331323307",0,588,413,141,20,"Thu Feb 12 2015 00:24:21 GMT+0000 (UTC)","normal"
"1423331323307",3,590,416,141,21,"Thu Feb 12 2015 00:24:41 GMT+0000 (UTC)","normal"
"1423252868772",44,1092,178,230,45,"Thu Feb 12 2015 00:44:39 GMT+0000 (UTC)","normal"
"1423252868772",63,1143,241,230,46,"Thu Feb 12 2015 00:45:35 GMT+0000 (UTC)","normal"
"1423252868772",25,1163,266,230,47,"Thu Feb 12 2015 00:45:58 GMT+0000 (UTC)","normal"
"1423252868772",213,1334,479,230,48,"Thu Feb 12 2015 00:48:51 GMT+0000 (UTC)","normal"
"1423252868772",233,1350,399,233,48,"Thu Feb 12 2015 00:49:10 GMT+0000 (UTC)","normal"
"1423252868772",233,1350,199,233,48,"Thu Feb 12 2015 00:49:11 GMT+0000 (UTC)","normal"
"1423252868772",147,1470,346,233,49,"Thu Feb 12 2015 00:51:33 GMT+0000 (UTC)","blacktheme"
"1423252868772",50,1509,396,233,50,"Thu Feb 12 2015 00:52:23 GMT+0000 (UTC)","blacktheme"
"1423252868772",52,1549,448,233,51,"Thu Feb 12 2015 00:53:08 GMT+0000 (UTC)","blacktheme"
"1423333719826",18,834,194,123,28,"Thu Feb 12 2015 00:55:56 GMT+0000 (UTC)","normal"
"1423333719826",111,933,305,123,29,"Thu Feb 12 2015 00:57:40 GMT+0000 (UTC)","normal"
"1423333719826",6,939,311,123,30,"Thu Feb 12 2015 00:58:38 GMT+0000 (UTC)","normal"
"1423333719826",15,951,326,123,31,"Thu Feb 12 2015 00:59:07 GMT+0000 (UTC)","normal"
"1423333719826",37,981,363,123,32,"Thu Feb 12 2015 00:59:42 GMT+0000 (UTC)","normal"
"1423333719826",174,1128,537,174,33,"Thu Feb 12 2015 01:03:12 GMT+0000 (UTC)","normal"
"1423333719826",86,1202,123,174,34,"Thu Feb 12 2015 01:06:35 GMT+0000 (UTC)","blacktheme"
"1423703243941",0,2217,20231,97,107,"Thu Feb 12 2015 01:07:35 GMT+0000 (UTC)","normal"
"1423703243941",0,2220,20231,97,108,"Thu Feb 12 2015 01:07:57 GMT+0000 (UTC)","normal"
"1423703243941",14,2236,20245,97,109,"Thu Feb 12 2015 01:08:16 GMT+0000 (UTC)","normal"
"1423252868772",28,1574,476,233,52,"Thu Feb 12 2015 01:21:19 GMT+0000 (UTC)","blacktheme"
"1423252868772",47,1611,523,233,53,"Thu Feb 12 2015 01:21:58 GMT+0000 (UTC)","blacktheme"
"1423265542728",25,1574,15236,143,82,"Thu Feb 12 2015 02:45:03 GMT+0000 (UTC)","blacktheme"
"1423265542728",131,1697,15242,143,82,"Thu Feb 12 2015 02:47:10 GMT+0000 (UTC)","blacktheme"
"1423265542728",132,1699,15043,143,82,"Thu Feb 12 2015 02:47:14 GMT+0000 (UTC)","blacktheme"
"1423265542728",141,1710,14752,143,82,"Thu Feb 12 2015 02:47:28 GMT+0000 (UTC)","blacktheme"
"1423265542728",173,1746,14384,173,82,"Thu Feb 12 2015 02:48:08 GMT+0000 (UTC)","blacktheme"
"1423719019732",0,1503,799,107,81,"Thu Feb 12 2015 05:31:23 GMT+0000 (UTC)","normal"
"1423719019732",46,1556,845,107,82,"Thu Feb 12 2015 05:32:17 GMT+0000 (UTC)","normal"
"1423719019732",99,1663,944,107,83,"Thu Feb 12 2015 05:35:12 GMT+0000 (UTC)","normal"
"1423696797788",19,1030,169,293,26,"Thu Feb 12 2015 07:47:31 GMT+0000 (UTC)","blacktheme"
"1423696797788",107,1145,276,293,27,"Thu Feb 12 2015 07:49:38 GMT+0000 (UTC)","blacktheme"
"1423696797788",152,1194,221,293,27,"Thu Feb 12 2015 07:50:33 GMT+0000 (UTC)","blacktheme"
"1423696797788",272,1323,141,293,27,"Thu Feb 12 2015 07:52:55 GMT+0000 (UTC)","blacktheme"
"1423696797788",0,1326,141,293,28,"Thu Feb 12 2015 07:53:00 GMT+0000 (UTC)","blacktheme"
"1423740064545",91,99,91,91,1,"Thu Feb 12 2015 11:23:40 GMT+0000 (UTC)","normal"
"1423740064545",61,161,152,91,2,"Thu Feb 12 2015 11:24:57 GMT+0000 (UTC)","normal"
"1423740064545",4,165,156,91,3,"Thu Feb 12 2015 11:31:50 GMT+0000 (UTC)","normal"
"1423740064545",22,185,178,91,4,"Thu Feb 12 2015 11:32:13 GMT+0000 (UTC)","normal"
"1423740064545",80,268,258,91,5,"Thu Feb 12 2015 11:33:39 GMT+0000 (UTC)","normal"
"1423740064545",80,269,158,91,5,"Thu Feb 12 2015 11:33:46 GMT+0000 (UTC)","normal"
"1423740064545",99,372,257,99,6,"Thu Feb 12 2015 11:35:35 GMT+0000 (UTC)","normal"
"1423740064545",103,376,161,103,6,"Thu Feb 12 2015 11:35:41 GMT+0000 (UTC)","normal"
"1423740064545",32,408,193,103,7,"Thu Feb 12 2015 13:14:10 GMT+0000 (UTC)","normal"
"1423740064545",1,409,194,103,8,"Thu Feb 12 2015 13:14:13 GMT+0000 (UTC)","normal"
"1423740064545",115,528,309,115,9,"Thu Feb 12 2015 13:16:15 GMT+0000 (UTC)","normal"
"1423740064545",9,537,318,115,10,"Thu Feb 12 2015 13:16:27 GMT+0000 (UTC)","normal"
"1423740064545",70,606,388,115,11,"Thu Feb 12 2015 13:17:38 GMT+0000 (UTC)","normal"
"1423740064545",2,608,390,115,12,"Thu Feb 12 2015 13:18:04 GMT+0000 (UTC)","normal"
"1423740064545",83,692,473,115,13,"Thu Feb 12 2015 13:19:31 GMT+0000 (UTC)","normal"
"1423740064545",84,693,474,115,13,"Thu Feb 12 2015 13:19:33 GMT+0000 (UTC)","normal"
"1423740064545",129,816,603,129,14,"Thu Feb 12 2015 13:21:40 GMT+0000 (UTC)","normal"
"1423740064545",194,876,568,194,14,"Thu Feb 12 2015 13:22:43 GMT+0000 (UTC)","normal"
"1423740064545",272,949,446,272,14,"Thu Feb 12 2015 13:23:59 GMT+0000 (UTC)","normal"
"1423740064545",274,951,148,274,14,"Thu Feb 12 2015 13:24:03 GMT+0000 (UTC)","normal"
"1423740064545",58,1004,206,274,15,"Thu Feb 12 2015 13:26:17 GMT+0000 (UTC)","normal"
"1423740064545",57,1054,263,274,16,"Thu Feb 12 2015 13:27:09 GMT+0000 (UTC)","normal"
"1423740064545",7,1060,270,274,17,"Thu Feb 12 2015 13:27:17 GMT+0000 (UTC)","normal"
"1423740064545",1,1061,271,274,18,"Thu Feb 12 2015 13:27:20 GMT+0000 (UTC)","normal"
"1423740064545",16,1074,287,274,19,"Thu Feb 12 2015 13:27:35 GMT+0000 (UTC)","normal"
"1423740064545",1,1075,288,274,20,"Thu Feb 12 2015 13:27:38 GMT+0000 (UTC)","normal"
"1423740064545",5,1080,293,274,21,"Thu Feb 12 2015 13:27:45 GMT+0000 (UTC)","normal"
"1423740064545",36,1112,329,274,22,"Thu Feb 12 2015 13:28:20 GMT+0000 (UTC)","normal"
"1423740064545",94,1200,423,274,23,"Thu Feb 12 2015 13:29:51 GMT+0000 (UTC)","normal"
"1423740064545",120,1223,349,274,23,"Thu Feb 12 2015 13:30:18 GMT+0000 (UTC)","normal"
"1423740064545",147,1247,176,274,23,"Thu Feb 12 2015 13:30:44 GMT+0000 (UTC)","normal"
"1423740064545",8,1255,184,274,24,"Thu Feb 12 2015 13:31:28 GMT+0000 (UTC)","normal"
"1423740064545",10,1263,194,274,25,"Thu Feb 12 2015 13:31:38 GMT+0000 (UTC)","normal"
"1423740064545",43,1300,237,274,26,"Thu Feb 12 2015 13:32:17 GMT+0000 (UTC)","normal"
"1423740064545",39,1335,276,274,27,"Thu Feb 12 2015 13:32:57 GMT+0000 (UTC)","normal"
"1423740064545",50,1345,187,274,27,"Thu Feb 12 2015 13:33:09 GMT+0000 (UTC)","normal"
"1423740064545",37,1378,224,274,28,"Thu Feb 12 2015 13:33:44 GMT+0000 (UTC)","normal"
"1423740064545",3,1380,227,274,29,"Thu Feb 12 2015 13:33:50 GMT+0000 (UTC)","normal"
"1423740064545",16,1393,243,274,30,"Thu Feb 12 2015 13:34:05 GMT+0000 (UTC)","normal"
"1423740064545",31,1420,274,274,31,"Thu Feb 12 2015 13:34:40 GMT+0000 (UTC)","normal"
"1423740064545",23,1440,297,274,32,"Thu Feb 12 2015 13:35:03 GMT+0000 (UTC)","normal"
"1423740064545",3,1442,300,274,33,"Thu Feb 12 2015 13:35:07 GMT+0000 (UTC)","normal"
"1423740064545",25,1464,325,274,34,"Thu Feb 12 2015 13:35:31 GMT+0000 (UTC)","normal"
"1423740064545",13,1476,338,274,35,"Thu Feb 12 2015 13:35:45 GMT+0000 (UTC)","normal"
"1423740064545",22,1495,360,274,36,"Thu Feb 12 2015 13:36:07 GMT+0000 (UTC)","normal"
"1423740064545",110,1596,470,274,37,"Thu Feb 12 2015 13:37:50 GMT+0000 (UTC)","normal"
"1423740064545",112,1598,372,274,37,"Thu Feb 12 2015 13:37:55 GMT+0000 (UTC)","normal"
"1423740064545",237,1711,297,274,37,"Thu Feb 12 2015 13:39:51 GMT+0000 (UTC)","normal"
"1423740064545",38,1744,335,274,38,"Thu Feb 12 2015 13:41:50 GMT+0000 (UTC)","normal"
"1423740064545",41,1748,238,274,38,"Thu Feb 12 2015 13:41:57 GMT+0000 (UTC)","normal"
"1423740064545",49,1791,287,274,39,"Thu Feb 12 2015 13:44:23 GMT+0000 (UTC)","normal"
"1423740064545",36,1822,323,274,40,"Thu Feb 12 2015 13:44:56 GMT+0000 (UTC)","normal"
"1423740064545",82,1896,405,274,41,"Thu Feb 12 2015 13:46:45 GMT+0000 (UTC)","normal"
"1423740064545",183,1986,406,274,41,"Thu Feb 12 2015 13:48:18 GMT+0000 (UTC)","normal"
"1423740064545",279,2072,302,279,41,"Thu Feb 12 2015 13:49:46 GMT+0000 (UTC)","normal"
"1423740064545",352,2137,75,352,41,"Thu Feb 12 2015 13:50:53 GMT+0000 (UTC)","normal"
"1423740064545",352,2137,75,352,41,"Thu Feb 12 2015 13:50:53 GMT+0000 (UTC)","normal"
"1423740064545",17,2152,92,352,42,"Thu Feb 12 2015 14:07:23 GMT+0000 (UTC)","normal"
"1423740064545",6,2157,98,352,43,"Thu Feb 12 2015 14:07:47 GMT+0000 (UTC)","normal"
"1423740064545",6,2157,98,352,43,"Thu Feb 12 2015 14:07:50 GMT+0000 (UTC)","normal"
"1423740064545",3,2159,101,352,44,"Thu Feb 12 2015 14:07:55 GMT+0000 (UTC)","normal"
"1423740064545",16,2172,117,352,45,"Thu Feb 12 2015 14:08:34 GMT+0000 (UTC)","normal"
"1423740064545",125,2279,242,352,46,"Thu Feb 12 2015 14:10:24 GMT+0000 (UTC)","normal"
"1423740064545",2,2281,244,352,47,"Thu Feb 12 2015 14:10:28 GMT+0000 (UTC)","normal"
"1423740064545",43,2317,287,352,48,"Thu Feb 12 2015 14:11:22 GMT+0000 (UTC)","normal"
"1423740064545",91,2397,378,352,49,"Thu Feb 12 2015 14:12:44 GMT+0000 (UTC)","normal"
"1423740064545",28,2463,406,352,50,"Thu Feb 12 2015 14:14:27 GMT+0000 (UTC)","normal"
"1423740064545",114,2564,520,352,51,"Thu Feb 12 2015 14:16:10 GMT+0000 (UTC)","normal"
"1423750768930",34,28,34,34,1,"Thu Feb 12 2015 14:20:37 GMT+0000 (UTC)","normal"
"1423265542728",20,1766,14404,173,83,"Thu Feb 12 2015 14:21:11 GMT+0000 (UTC)","blacktheme"
"1423740064545",3,2567,23,352,52,"Thu Feb 12 2015 14:21:46 GMT+0000 (UTC)","blacktheme"
"1423740064545",2,2569,25,352,53,"Thu Feb 12 2015 14:21:56 GMT+0000 (UTC)","blacktheme"
